a	Một
dessert	món tráng miệng
dessertspoon	thìa tráng miệng
dessiatine	món tráng miệng
dessicator	bình hút ẩm
dessous	tuyệt vọng
dessus	dessus
destime	vận mệnh
destinate	điểm đến
destination	điểm đến
destine	định mệnh
destined	định mệnh
destiny	định mệnh
destitute	cơ cực
destitution	cơ cực
desto	định mệnh
destrier	người khu trục
destroy	hủy hoại
destroyable	bị phá hủy
destroyed	bị phá hủy
destroyer	kẻ huỷ diệt
destroying	phá hủy
destructibility	khả năng phá hủy
destructible	có thể phá hủy
destruction	sự phá hủy
destructive	phá hoại
destructive-metabolic(a)	phá hoại-trao đổi chất(a)
destructively	tàn phá
destructiveness	tính phá hoại
desuetude	cuối cùng
desultory	khinh suất
desume	coi thường
desunt	bỏ đi
detach	tách ra
detachable	có thể tháo rời
detached	tách ra
detachment	biệt đội
detail	chi tiết
detailed	chi tiết
details	chi tiết
detain	giam
detainee	người bị giam giữ
detat	detat
detect	phát hiện
detectable	có thể phát hiện
detected	phát hiện
detection	phát hiện
detective	thám tử
detector	máy dò
detent	giam giữ
detente	gièm pha
detention	tạm giam
detenu	detenu
deter	răn đe
deterge	bột giặt
detergency	chất tẩy rửa
detergent	chất tẩy rửa
deteriorate	xấu đi
deteriorated	xuống cấp
deterioration	giảm giá trị
determent	răn đe
determinable	xác định được
determinant	bản ngã
determinate	xác định
determinateness	tính quả quyết
determination	sự quyết tâm
determine	quyết tâm
determined	xác định
determinedly	quả quyết
determiner	định thức
determinism	thuyết định mệnh
deterration	răn đe
deterrence	nản lòng
deterrent	răn đe
detersion	răn đe
detersive	răn đe
detest	ghê tởm
detestable	đáng ghét
detestably	ghê tởm
detestation	sự ghê tởm
dethrone	truất ngôi
dethronement	truất ngôi
detonate	kích nổ
detonating	kích nổ
detonation	kích nổ
detonative	thuốc nổ
detonator	ngòi nổ
detonize	kích nổ
detort	vặn lại
detortion	bẻ cong
detour	đường vòng
detox	giải độc
detoxification	giải độc
detract	gièm pha
detracting	gièm pha
detraction	lời gièm pha
detractive	gièm pha
detractor	kẻ gièm pha
detractory	gièm pha
detrain	ngăn chặn
detre	ngăn cản
detribalization	sự phân chia
detriment	bất lợi
detrimental	bất lợi
detrimentally	bất lợi
detrition	sự gièm pha
detritus	mảnh vụn
detroit	thành phố detroit
detrude	gièm pha
detruncate	rút ngắn
detruncation	sự cắt ngắn
detrusion	sự gièm pha
detrusive	xúc phạm
deuce	thất bại
deuced	suy diễn
deucedly	một cách dứt khoát
deum	deum
deus	vị thần
deuteranopia	cận thị
deuteranopic	lưỡng tính
deuterium	đơteri
deuterogamy	chế độ lưỡng quyền
deuteromycetes	deuteromycetes
deuteromycota	deuteromycota
deuteron	deuteron
deuteronomy	phục truyền luật lệ ký
deutzia	deutzia
deuvre	deuvre
deux	deux
deva	thiên thần
devaluation	phá giá
devanagari	devanagari
devastate	tàn phá
devastation	sự tàn phá
devel	phát triển
develop	phát triển
developed	đã phát triển
developer	nhà phát triển
developing	đang phát triển
development	phát triển
developmental	phát triển
developmentally	phát triển
devex	phát triển
devexity	sự khéo léo
devi	thần
deviate	đi chệch hướng
deviating	sai lệch
deviation	độ lệch
deviationism	chủ nghĩa lệch lạc
deviationist	người theo chủ nghĩa lệch lạc
device	thiết bị
devices	thiết bị
devil	ác quỷ
devil-may-care	ma quỷ có thể quan tâm
devilish	quỷ quyệt
devilishly	quỷ quyệt
devilism	chủ nghĩa ma quỷ
devilmay	ác quỷ có thể
devilmaycare	ma quỷ có thể quan tâm
devils	ác quỷ
devilship	ma quỷ
deviltry	ma quỷ
devilwood	rừng ma quỷ
devilworship	Tôn sùng ma quỷ
devious	quanh co
deviously	quỷ quyệt
deviousness	sự quỷ quyệt
devisal	nghĩ ra
devise	nghĩ ra
devised	nghĩ ra
devisee	người nghĩ ra
devising	nghĩ ra
devitalization	làm mất sức sống
devitedness	sự lệch lạc
devoid	không có
devoir	người nuốt chửng
devoirs	quỷ dữ
devolution	chuyển giao quyền lực
devolve	chuyển giao
devon	quỷ dữ
devonian	kỷ Devon
devote	cống hiến
devoted	tận tâm
devoted(p)	tận tụy(p)
devotedly	tận tụy
devotee	tín đồ
devotion	sự tận tâm
devotional	sùng đạo
devour	ngấu nghiến
devoured	nuốt chửng
devouring	ngấu nghiến
devout	mộ đạo
devoutless	không mộ đạo
devoutly	mộ đạo
devoutness	sùng đạo
dew	sương
dewali	sương mù
dewan	sương mù
dewberry	dâu tây
dewdrop	giọt sương
dewdrops	hạt sương
dewey	sương mai
deweyan	sương mai
dewlap	diềm
dewy	nhiều sương
dexamethasone	dexamethasone
dexter	khéo léo
dexterity	sự khéo léo
dexterous	lanh tay
dexterously	khéo léo
dexterousness	sự khéo léo
dextrad	dextrad
dextral	dextral
dextrality	sự khéo léo
dextrally	khéo léo
dextro	dextro
dextrorotary	quay dextrorotary
dextrorsal	dextrorsal
dextrorse	dextrorse
dextrose	đường dextrose
dey	dey
df	df
dfie	dfie
dg	đg
dhak	dhak
dharma	pháp
dhaulagiri	dhaulagiri
dhawa	dhawa
dhegiha	dhegiha
dheur	dheur
dhobi	dhobi
dhole	hố đào
dhonneur	dhonneur
dhote	dhote
dhoti	dhoti
dhow	dhow
dhu	dhu
dhu'l-hijja	dhu'l-hijja
dhu'l-qa'dah	dhu'l-qa'dah
di	đi
di-iodotyrosine	di-iodotyrosine
diabatic	bệnh tiểu đường
diabetes	bệnh tiểu đường
diabetic	bệnh tiểu đường
diable	có thể ăn được
diablerie	bệnh tiểu đường
diabolatry	bệnh tiểu đường
diabolic	quỷ quyệt
diabolical	ma quỷ
diabolically	quỷ quyệt
diabolism	diabolism
diabolology	bệnh tiểu đường
diacalpa	dicalpa
diachronic	lịch đại
diaconicum	diaconicum
diacoustics	tạp âm
diacritic	âm tiêu
diacritical	dấu phụ
diadem	vương miện
diadophis	diadophis
diadromous	độc ác
diagnosable	chẩn đoán được
diagnosis	chẩn đoán
diagnostic	chẩn đoán
diagnostician	bác sĩ chẩn đoán
diagnostics	chẩn đoán
diagnus	chẩn đoán
diagonal	đường chéo
diagonalizable	chéo hóa được
diagonalization	chéo hóa
diagonally	theo đường chéo
diagram	biểu đồ
diagrammatic	biểu đồ
diagrammatically	theo sơ đồ
diakinesis	bệnh tiểu đường
dial	quay số
dialect	thổ ngữ
dialectal	biện chứng
dialectic	phép biện chứng
dialectical	biện chứng
dialectically	một cách biện chứng
dialectician	nhà biện chứng
dialectics	phép biện chứng
dialeurodes	quay số
dialnot	quay số
dialogism	chủ nghĩa đối thoại
dialogist	nhà đối thoại
dialogue	hội thoại
dialysis	lọc máu
dialyzer	quả lọc máu
diamagnet	nam châm
diamagnetic	nghịch từ
diamagnetism	nghịch từ
diamantine	kim cương
diameter	đường kính
diametral	xuyên tâm
diametric	đường kính
diametrically	xuyên tâm
diamine	điamin
diamond	kim cương
diamondback	lưng kim cương
diana	diana
dianoetic	dianoetic
dianthus	cây điên điển
diapason	âm giai
diapensia	tiểu tiện
diapensiaceae	họ cải
diapensiales	họ kim tiền
diaper	tã lót
diaphaneity	sự trong suốt
diaphanous	trong suốt
diapheromera	màng phổi
diaphone	điện thoại
diaphonics	tạp âm
diaphoresis	chảy mồ hôi
diaphoretic	toát mồ hôi
diaphragm	cơ hoành
diaphyseal	cơ hoành
diaphysis	cơ hoành
diaporesis	ho ra mồ hôi
diapsid	tã lót
diapsida	bỉm
diarist	người pha cà phê
diarrhea	bệnh tiêu chảy
diarrheal	tiêu chảy
diarrhoea	bệnh tiêu chảy
diary	Nhật ký
diaskeaus	dịch bệnh
diaspididae	diaspididae
diaspora	hải ngoại
diastasis	di tinh
diaster	thiên tai
diastole	tâm trương
diastrophism	bệnh diastrophism
diatessaron	diatessaron
diathermal	điện nhiệt
diathermancy	đo nhiệt độ
diathermanous	có nhiệt độ cao
diathermy	điện nhiệt
diathesis	thể tạng
diatom	tảo cát
diatomic	tảo cát
diatonic	diatonic
diatribe	đấu khẩu
diavolo	diavolo
diazepam	diazepam
diazo	điazo
diazonium	điazoni
dib	ngâm nga
dibatter	người hay cãi cọ
dibble	ngâm nga
dibranchiata	phân nhánh
dibranchiate	phân nhánh
dibs	tiếng ngâm
dibucaine	dibucain
dicacity	tính cẩn thận
dicamptodon	dicamptodon
dicamptodontidae	dicamptodontidae
dicamus	cây kim ngân hoa
dicarboxylic	đicacboxylic
dice	xúc xắc
dicen	dicen
dicentra	dicentra
dicer	đẹp hơn
dicere	xúc xắc
diceros	xúc xắc
dicers	người đánh bạc
dichloride	điclorua
dichondra	lưỡng sắc
dichotomization	phân đôi
dichotomize	phân đôi
dichotomous	phân đôi
dichotomously	phân đôi
dichotomy	sự phân đôi
dichroic	lưỡng sắc
dichroism	lưỡng sắc
dichromatic	nhị sắc
dichter	cái máng
dichtung	dịch đông
dichtunggerman	dichtunggerman
dicis	dicis
dick	tinh ranh
dickens	gà tây
dicker	thợ mỏ
dickey	chim con
dickeybird	chim cút
dicksonia	tinh ranh
dicksoniaceae	họ cà gai leo
dicky	tinh ranh
diclinous	tinh nghịch
dicot	hai lá mầm
dicotyledones	hai lá mầm
dicotyledonous	cây hai lá mầm
dicousu	dicousu
dicranaceae	họ đào
dicranales	dicranales
dicranopteris	dicranopteris
dicranum	đồng dicranum
dicrostonyx	dicrostonyx
dicta	mệnh lệnh
dictamnus	mệnh lệnh
dictaphone	máy ghi âm
dictate	ra lệnh
dictates	ra lệnh
dictation	chính tả
dictator	nhà độc tài
dictatorial	độc tài
dictatorially	độc tài
dictatorship	chế độ độc tài
diction	cách diễn đạt
dictionary	từ điển
dicto	châm ngôn
dictostylium	dictostylium
dictu	mệnh lệnh
dictum	châm ngôn
dictyophera	từ điển
dictyoptera	bộ cánh cứng
dictyopteran	độc tài
dicynodont	răng nanh
dicynodontia	hai răng nanh
did	làm
didactic	giáo huấn
didactically	về mặt giáo khoa
didder	người ngu ngốc
diddle	nói nhỏ
diddler	người lừa đảo
didelphidae	didelphidae
didelphis	didelphis
dido	đã làm
diduction	khấu trừ
die	chết
die-cast	đúc chết
die-hard(a)	hết mình(a)
dieback	chết dần chết mòn
dieffenbachia	dieffenbachia
diegueno	diegueno
diem	điểm
diemaker	thợ làm khuôn
diencephalon	diencephalon
diener	thợ điện
diervilla	xe tập đi
dies	chết
diesel	dầu diesel
diestock	gia súc
diestrous	nguy hiểm
diestrus	chết tiệt
diet	ăn kiêng
diet(a)	chế độ ăn uống(a)
dietary	chế độ ăn kiêng
dietetic	ăn kiêng
dietetics	chế độ ăn kiêng
diethylstilbestrol	dietylstilbestrol
dietician	bác sĩ dinh dưỡng
dieu	dieu
differ	khác nhau
difference	sự khác biệt
differences	khác biệt
different	khác biệt
differentia	phân biệt
differentiable	khả vi
differential	sự khác biệt
differentially	một cách khác biệt
differentiated	phân biệt
differentiation	sự khác biệt
differentiator	phân biệt
differently	khác nhau
differing	khác nhau
differing(a)	khác biệt (a)
difficile	khó tính
difficili	khó khăn
difficult	khó
difficulties	nỗi khó khăn
difficulty	khó khăn
diffide	phân tán
diffidence	thiếu tự tin
diffident	khác thường
diffidently	e dè
diffluent	khuếch tán
difflugia	difflugia
diffraction	nhiễu xạ
diffuse	khuếch tán
diffused	khuếch tán
diffusely	khuếch tán
diffuseness	sự khuếch tán
diffuser	máy khuếch tán
diffusing(a)	khuếch tán (a)
diffusion	khuếch tán
diffusive	khuếch tán
diflunisal	diflunisal
dig	đào
digamy	hai vợ chồng
digenesis	sự phát sinh
digenetic	di truyền học
digest	tiêu
digested	tiêu hóa
digester	máy tiêu hóa
digestibility	khả năng tiêu hóa
digestible	tiêu hóa được
digestion	tiêu hóa
digestive	tiêu hóa
digger	thợ đào
digging	đào bới
diggings	đào bới
dight	sáng
dighted	đáng sợ
digit	chữ số
digital	điện tử
digitalis	kỹ thuật số
digitalization	số hóa
digitally	kỹ thuật số
digitaria	kỹ thuật số
digitate	số hóa
digitated	số hóa
digitately	kỹ thuật số
digitigrade	số hóa
digitization	số hóa
digitizer	bộ số hóa
digladiation	sự sung sướng
diglot	kỹ sư
dignification	trang nghiêm
dignified	đứng đắn, nghiêm túc
dignify	trang nghiêm
dignifying	trang nghiêm
dignitaries	chức sắc
dignitate	tôn trọng
dignitatem	chức sắc
dignities	chức sắc
dignity	phẩm giá
dignus	dinus
digraph	chữ ghép lại
digress	lạc đề
digression	lạc đề
digressive	lạc đề
dihydrostreptomycin	dihydrostreptomycin
dii	dii
diis	diis
dijudication	phân xử
dike	đê
dilaceration	sự giãn ra
dilapidate	đổ nát
dilapidated	đổ nát
dilapidation	đổ nát
dilatability	khả năng giãn nở
dilatation	sự giãn ra
dilate	giãn ra
dilated	giãn ra
dilating	giãn ra
dilation	sự giãn nở
dilatoriness	sự giãn nở
dilatory	giãn ra
dildo	dương vật giả
dilection	sự pha loãng
dilemma	tình trạng khó xử
dilettant	cao thủ
dilettante	người tài tử
dilettanti	cao thủ
dilettantism	chủ nghĩa tài hoa
diligence	siêng năng
diligent	siêng năng
diligently	siêng năng
dill	rau thì là
dillenia	cây dillienia
dilleniaceae	họ dilliniaceae
dilleniidae	dilliniidae
diller	thợ xay
dilly	lém lỉnh
dillydally	tình cờ
diltiazem	diltiazem
dilucidation	pha loãng
diluent	chất pha loãng
dilute	pha loãng
diluted	pha loãng
dilution	pha loãng
diluvian	nước lũ
dim	lờ mờ
dim-sighted	mờ mắt
dim-witted	lờ mờ
dime	xu
dimenhydrinate	dimenhydrinat
dimension	kích thước
dimensional	chiều
dimensionality	chiều kích
dimensioning	đo kích thước
dimensions	kích thước
dimer	mờ hơn
dimes	xu
dimethylglyoxime	đimetylglyoxime
dimetrodon	dimetrodon
dimeyed	mắt mờ
dimidiate	giảm bớt
dimidiation	giảm thiểu
dimidium	didi
diminish	giảm bớt
diminished	giảm bớt
diminishing	giảm dần
diminishment	sự suy giảm
diminuendo	giảm bớt
diminution	sự suy giảm
diminutive	nhỏ bé
diminutiveness	sự nhỏ bé
dimittis	dimittis
dimity	lờ mờ
dimly	lờ mờ
dimmed	mờ đi
dimmer	điều chỉnh độ sáng
dimness	lờ mờ
dimocarpus	dimocarpus
dimorphotheca	lưỡng hình
dimple	lúm đồng tiền
dimsighted	cận thị
dimsightedness	cận thị
dimwit	đần độn
din	tiếng ồn ào
dinarchy	chế độ quân chủ
dindustrie	công nghiệp
dine	ăn cơm trưa
diner	quán ăn tối
ding	đinh
ding-dong	ding-dong
dingbat	con dơi
dingdong	Ding Dong
dinghy	xuồng ba lá
dingily	buồn tẻ
dinginess	buồn tẻ
dingle	nhỏ giọt
dingo	chó dingo
dingus	người đi du lịch
dingy	bẩn thỉu
dining	ăn uống
dininghall	phòng ăn
dinka	dinka
dinky	buồn tẻ
dinmont	người đi rừng
dinner	bữa tối
dinners	bữa tối
dinnertime	giờ ăn tối
dinoceras	khủng long
dinocerata	dinocerata
dinocerate	phân biệt
dinoflagellata	tảo hai roi
dinoflagellate	trùng roi
dinornis	dinornis
dinornithidae	dinornithidae
dinornithiformes	bộ dinornithiformes
dinosaur	khủng long
dint	không biết
dinvention	phát minh
dio	điô
diocesan	giáo phận
diocese	giáo khu
diode	điốt
diodon	đi-ốt
diodontidae	diodontidae
dioecious	độc ác
diogenes	diogenes
diol	điol
diomedeidae	diomedeidae
dionaea	dionaea
dionysia	dionysia
dionysus	dionysus
dioon	dioon
dioptrics	đo thị lực
diorama	tranh tầm sâu
diorism	chủ nghĩa di truyền
dioristic	người theo chủ nghĩa lập dị
diorite	diorit
dios	dios
dioscorea	củ từ
dioscoreaceae	dioscoreaceae
diospyros	diospyros
dioxide	dioxit
dioxin	điôxin
dip	nhúng
diphenylhydantoin	diphenylhydantoin
diphtheria	bạch hầu
diphthong	Nguyên âm đôi
diphyletic	lưỡng ngành
diphylla	hai ngành
